qubits,states,execution_time,probability,circuit_depth
2,4,0.14106200000060198,1.0,12
3,8,0.1320981999997457,0.947265625,22
4,16,0.13794659999985015,0.955078125,32
5,32,0.14077460000044084,1.0,42
6,64,0.13136129999929835,0.99609375,62
7,128,0.16803470000013476,0.994140625,82
8,256,0.21200390000012703,1.0,122
9,512,0.14127600000028906,1.0,172
10,1024,0.16857950000030542,0.9990234375,252
11,2048,0.18362129999968602,1.0,352
12,4096,0.3513887999997678,1.0,502
13,8192,0.4072069999992891,0.9990234375,712
14,16384,0.5783700000001772,1.0,1002
15,32768,0.7010073999999804,1.0,1422
